Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
ABCB5,28.258558944263246,0.8888778231326682,0.5451131879421025,1.6306298266023194,0.10296845165465447,0.21311108952653826,Sarcoidosis_vs_Control,ABCB5
ABCB6,40.200557856529144,0.22668779023312796,0.4676305526113378,0.48475829683766447,0.6278478081061976,0.7472739411538125,Sarcoidosis_vs_Control,ABCB6
ABCB7,196.41754632888467,0.05443518094036073,0.24368169183214133,0.22338642074866286,0.8232347719974673,0.889363942384536,Sarcoidosis_vs_Control,ABCB7
ABCB8,8.310695820969148,-1.4049057549522608,1.197161308291906,-1.1735308727582934,0.2405829839085305,,Sarcoidosis_vs_Control,ABCB8
ABCB9,0.15557299492342408,0.1671438524126538,5.9375319239969215,0.028150392208778036,0.9775422028085199,,Sarcoidosis_vs_Control,ABCB9
ABCC1,184.92195444970895,-0.932087567436749,0.3795797186492031,-2.4555778974538893,0.014065826420671645,0.048689067352511974,Sarcoidosis_vs_Control,ABCC1
ABCC10,67.07228507317744,-0.6494675126818236,0.45818153291361435,-1.4174895014903937,0.15633986165047117,0.2892108092937592,Sarcoidosis_vs_Control,ABCC10
ABCC11,0.3000930628581194,-0.153450317762975,4.660328487794175,-0.03292693168837248,0.9737328560547236,,Sarcoidosis_vs_Control,ABCC11
ABCC12,0.09300139829874708,0.4877380483346433,5.954393187957517,0.08191230120998237,0.934716452362472,,Sarcoidosis_vs_Control,ABCC12
ABCC2,15.118257381453327,0.11555835175422766,0.644633039714078,0.1792622230555894,0.8577318079626809,0.9118550243249899,Sarcoidosis_vs_Control,ABCC2
ABCC3,44.59214538794819,-0.3277490483722938,0.6615395806977422,-0.4954337698533605,0.6202939620335224,0.7412532546511117,Sarcoidosis_vs_Control,ABCC3
ABCC4,717.7086403472426,0.8036459360493019,0.4214594554604344,1.906816718992193,0.056544325547074635,0.13738104751945296,Sarcoidosis_vs_Control,ABCC4
ABCC5,121.90147508877062,0.6198789594831754,0.38115785108005834,1.6263051062090705,0.10388476607408496,0.21437865437738046,Sarcoidosis_vs_Control,ABCC5
ABCC6,1.095568318487854,-2.0152566070944835,3.627084351972949,-0.5556133829637259,0.5784751806526308,,Sarcoidosis_vs_Control,ABCC6
ABCC8,0.3265121431555139,-0.15345031658948743,4.594441083805802,-0.03339912598517358,0.9733563066380236,,Sarcoidosis_vs_Control,ABCC8
ABCC9,0.0,,,,,,Sarcoidosis_vs_Control,ABCC9
ABCD1,84.82816315573527,0.47375739353371904,0.3059528572791716,1.5484653346493558,0.121510301616759,0.24084429932396412,Sarcoidosis_vs_Control,ABCD1
ABCD2,102.04416157595074,-0.5794979977604197,0.410155151386922,-1.4128750932442813,0.157692453587836,0.2907599503592768,Sarcoidosis_vs_Control,ABCD2
ABCD3,191.01651630853183,-0.2275042002946455,0.23341087666073165,-0.9746940825955097,0.32971202908017183,0.48526629789207587,Sarcoidosis_vs_Control,ABCD3
ABCD4,79.7560964730137,-0.3508256926407665,0.3866956812144023,-0.9072397486804417,0.3642800282183407,0.5190845479026642,Sarcoidosis_vs_Control,ABCD4
ABCE1,385.8247488660295,-0.1140686617206092,0.18511171113334243,-0.6162152627849762,0.5377524563320131,0.675574218889109,Sarcoidosis_vs_Control,ABCE1
ABCF1,267.6434323972739,-0.15391275197996596,0.2034105550089207,-0.7566605969548434,0.44925322715740534,0.5983681921124238,Sarcoidosis_vs_Control,ABCF1
ABCF2,194.22230005944556,0.4901750795033452,0.24910664010838132,1.9677318890017537,0.04909889464574324,0.12382223475450173,Sarcoidosis_vs_Control,ABCF2
ABCF3,147.34438046962663,-0.4658675220644207,0.26544664437454873,-1.7550326287307496,0.0792537267985611,0.17694146916577488,Sarcoidosis_vs_Control,ABCF3
ABCG1,37.58271021182072,-1.1428598496336702,0.6011078839934412,-1.901255797946147,0.05726851571632404,0.13881189723123596,Sarcoidosis_vs_Control,ABCG1
ABCG2,63.516617498860384,3.023449605273374,0.5180445604216708,5.8362732403027024,5.338132803733407e-09,1.9375190703711477e-07,Sarcoidosis_vs_Control,ABCG2
ABCG4,0.19900090176672885,0.16714434246116192,5.691549605374448,0.029367106333103014,0.9765718068272234,,Sarcoidosis_vs_Control,ABCG4
ABCG5,0.45039446818080553,2.2892353662819542,2.83382794839874,0.8078244014692181,0.4191916758512033,,Sarcoidosis_vs_Control,ABCG5
ABCG8,0.0,,,,,,Sarcoidosis_vs_Control,ABCG8
ABHD1,11.012905667913838,0.4807375396588613,0.7901277846053796,0.6084301160209931,0.5429022424747645,0.680538872262305,Sarcoidosis_vs_Control,ABHD1
ABHD10,83.06445275076643,-0.4857878665460487,0.38874800582806746,-1.2496215009805076,0.21143784504325802,0.35801788545946805,Sarcoidosis_vs_Control,ABHD10
ABHD11,20.80890902989028,0.909699292971947,0.45899535626395066,1.9819357223492555,0.04748643518801128,0.12051315931695511,Sarcoidosis_vs_Control,ABHD11
ABHD12,65.79588969600397,0.44500436890642014,0.3249840235916021,1.3693115248817405,0.17090191698713797,0.30660216766541853,Sarcoidosis_vs_Control,ABHD12
ABHD12B,0.1668511648404151,0.1671438524126538,5.9375319239969215,0.028150392208778036,0.9775422028085199,,Sarcoidosis_vs_Control,ABHD12B
ABHD13,100.85048369622614,-1.2682757687913808,0.39191441105934033,-3.2361039374981018,0.0012117325361003914,0.007046902044050086,Sarcoidosis_vs_Control,ABHD13
ABHD14A,27.132848101372133,-4.191496360937828,1.4768319216044796,-2.83816749869819,0.004537336539852913,0.020132647351359934,Sarcoidosis_vs_Control,ABHD14A
ABHD14B,252.15935772401858,-0.6433568016046374,0.21679847452541331,-2.9675338030536857,0.003001992712180056,0.01445053037743645,Sarcoidosis_vs_Control,ABHD14B
ABHD15,85.12810561930453,-0.09006216522663964,0.3076097046025054,-0.29278063688861294,0.7696898295584536,0.8527933643556953,Sarcoidosis_vs_Control,ABHD15
ABHD16A,143.89487860843127,0.13158069173976325,0.28753206539608317,0.45762093197677733,0.6472248024608691,0.7623785422287688,Sarcoidosis_vs_Control,ABHD16A
ABHD16B,42.638047861212826,-0.336654439469402,0.48730299487835005,-0.6908523916489455,0.48965830718076386,0.6350985834145079,Sarcoidosis_vs_Control,ABHD16B
ABHD2,1402.7863159602678,-0.11642947941451535,0.2475862058037429,-0.4702583451147795,0.6381704539371575,0.7550223335124866,Sarcoidosis_vs_Control,ABHD2
ABHD3,539.2399778058466,0.862605054843853,0.2120988899169719,4.066994670182045,4.7623331831432233e-05,0.0004834282101737473,Sarcoidosis_vs_Control,ABHD3
ABHD4,175.78605009145753,-0.3482465568389059,0.2539855081857966,-1.3711276652215723,0.17033516220088496,0.3058882485901377,Sarcoidosis_vs_Control,ABHD4
ABHD5,776.2485592251808,0.456087080362453,0.22104308941039416,2.0633401459372034,0.03908032233831826,0.10432324453524007,Sarcoidosis_vs_Control,ABHD5
ABHD6,50.45482631200696,0.30589083762333014,0.38518327336155384,0.7941436162421426,0.42711182843393036,0.5783635219964258,Sarcoidosis_vs_Control,ABHD6
